
2024/07/06 (19:30:01) | ===> btop++ v.1.3.2
2024/07/06 (19:30:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:33:31) | ===> btop++ v.1.3.2
2024/07/06 (19:33:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:33:44) | ===> btop++ v.1.3.2
2024/07/06 (19:33:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:33:50) | ===> btop++ v.1.3.2
2024/07/06 (19:33:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:33:58) | ===> btop++ v.1.3.2
2024/07/06 (19:33:58) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:34:20) | ===> btop++ v.1.3.2
2024/07/06 (19:34:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:34:32) | ===> btop++ v.1.3.2
2024/07/06 (19:34:32) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:34:39) | ===> btop++ v.1.3.2
2024/07/06 (19:34:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:34:47) | ===> btop++ v.1.3.2
2024/07/06 (19:34:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:34:55) | ===> btop++ v.1.3.2
2024/07/06 (19:34:55) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:05) | ===> btop++ v.1.3.2
2024/07/06 (19:35:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:24) | ===> btop++ v.1.3.2
2024/07/06 (19:35:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:31) | ===> btop++ v.1.3.2
2024/07/06 (19:35:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:38) | ===> btop++ v.1.3.2
2024/07/06 (19:35:38) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:45) | ===> btop++ v.1.3.2
2024/07/06 (19:35:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:35:50) | ===> btop++ v.1.3.2
2024/07/06 (19:35:50) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:02) | ===> btop++ v.1.3.2
2024/07/06 (19:36:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:09) | ===> btop++ v.1.3.2
2024/07/06 (19:36:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:15) | ===> btop++ v.1.3.2
2024/07/06 (19:36:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:19) | ===> btop++ v.1.3.2
2024/07/06 (19:36:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:28) | ===> btop++ v.1.3.2
2024/07/06 (19:36:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:36:48) | ===> btop++ v.1.3.2
2024/07/06 (19:36:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:37:01) | ===> btop++ v.1.3.2
2024/07/06 (19:37:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/06 (19:38:01) | ===> btop++ v.1.3.2
2024/07/06 (19:38:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/19 (00:54:43) | ===> btop++ v.1.3.2
2024/07/19 (00:54:43) | WARNING: Failed to set locale UTF-8 continuing anyway.
